type,barrier,tet,,barrier,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48
Li-I-c-.70-v-1.34,0.2701,-0.1083,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.36,0.2519,-0.1749,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.38,0.2384,-0.2355,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.40,0.2907,-0.2907,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.42,0.3408,-0.3408,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.44,0.3865,-0.3865,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.46,0.4278,-0.4278,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.48,0.4653,-0.4653,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.20,1.1517,0.5783,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.22,0.9697,0.4513,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.24,0.8039,0.3355,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.26,0.6523,0.2298,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.28,0.514,0.1333,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.30,0.3875,0.0452,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.32,0.3072,-0.0351,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.34,0.275,-0.1086,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.36,0.2584,-0.1755,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.38,0.2445,-0.2366,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.40,0.2921,-0.2921,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.42,0.3426,-0.3426,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.44,0.3885,-0.3885,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.46,0.4301,-0.4301,,,,,,,,,,,,,,,,,
Li-I-c-.75-v-1.48,0.4678,-0.4678,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.20,1.1569,0.5785,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.22,0.9759,0.4523,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.24,0.8105,0.3369,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.26,0.6593,0.2314,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.28,0.5212,0.135,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.30,0.395,0.047,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.32,0.3131,-0.0333,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.34,0.281,-0.1064,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.36,0.2653,-0.1731,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.38,0.2515,-0.2338,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.40,0.289,-0.289,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.42,0.3392,-0.3392,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.44,0.3848,-0.3848,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.46,0.426,-0.426,,,,,,,,,,,,,,,,,
Li-I-c-.80-v-1.48,0.4635,-0.4635,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.20,1.1537,0.5717,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.22,0.9739,0.4463,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.24,0.8101,0.3322,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.26,0.6605,0.2281,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.28,0.524,0.1332,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.30,0.3997,0.0468,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.32,0.3181,-0.0318,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.34,0.2863,-0.1034,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.36,0.271,-0.1686,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.38,0.2572,-0.2278,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.40,0.2816,-0.2816,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.42,0.3305,-0.3305,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.44,0.3748,-0.3748,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.46,0.4148,-0.4148,,,,,,,,,,,,,,,,,
Li-I-c-.85-v-1.48,0.4511,-0.4511,,,,,,,,,,,,,,,,,
